# Funput English lexicon: word<TAB>rank, most frequent first. Generated; do not edit.
# Words: SCOWL/ESDB size 60, American. Ranking: Google Books Ngram v3, 2000-2019.
# Attribution: NOTICE.md. Regenerate: crates/funput-lexicon-tool/README.md.
lay	1364
cent	1365
leaders	1366
animals	1367
latter	1368
couple	1369
lady	1370
letters	1371
rose	1372
wish	1373
educational	1374
external	1375
girls	1376
fish	1377
net	1378
smith	1379
goal	1380
leaving	1381
baby	1382
performed	1383
forest	1384
official	1385
majority	1386
shape	1387
ran	1388
stories	1389
software	1390
selected	1391
slowly	1392
judge	1393
details	1394
finding	1395
strategies	1396
version	1397
sites	1398
hearing	1399
reaction	1400
acts	1401
choose	1402
agreed	1403
animal	1404
gold	1405
fair	1406
employee	1407
agent	1408
edge	1409
japan	1410
attack	1411
Michael	1412
concern	1413
provisions	1414
safe	1415
element	1416
formed	1417
gender	1418
February	1419
wait	1420
married	1421
paragraph	1422
client	1423
doubt	1424
formation	1425
filled	1426
southern	1427
joint	1428
recently	1429
generation	1430
van	1431
double	1432
soul	1433
understood	1434
output	1435
crime	1436
treated	1437
sister	1438
maximum	1439
station	1440
criminal	1441
trees	1442
evening	1443
improve	1444
patterns	1445
San	1446
items	1447
break	1448
served	1449
wind	1450
resistance	1451
leadership	1452
aware	1453
looks	1454
suggest	1455
conduct	1456
piece	1457
chair	1458
equation	1459
regulations	1460
watch	1461
correct	1462
vision	1463
located	1464
operating	1465
command	1466
online	1467
believed	1468
experiences	1469
perfect	1470
sitting	1471
powerful	1472
judgment	1473
engineering	1474
stone	1475
bottom	1476
via	1477
framework	1478
rich	1479
processing	1480
defense	1481
chemical	1482
guide	1483
acid	1484
prevent	1485
soil	1486
anti	1487
enter	1488
build	1489
duty	1490
regulation	1491
testing	1492
reduction	1493
shared	1494
explained	1495
plants	1496
thoughts	1497
proper	1498
entered	1499
introduced	1500
worth	1501
Richard	1502
accepted	1503
regard	1504
carry	1505
allows	1506
foot	1507
pretty	1508
tools	1509
protein	1510
bible	1511
minister	1512
Charles	1513
expressed	1514
error	1515
contains	1516
challenge	1517
officers	1518
Americans	1519
played	1520
suggests	1521
travel	1522
causes	1523
references	1524
referred	1525
gain	1526
spoke	1527
intended	1528
release	1529
straight	1530
arrived	1531
assets	1532
changing	1533
thousand	1534
describe	1535
affect	1536
caught	1537
interesting	1538
medicine	1539
ancient	1540
breath	1541
opportunities	1542
whereas	1543
core	1544
executive	1545
iv	1546
selection	1547
philosophy	1548
academic	1549
career	1550
maintain	1551
payment	1552
village	1553
doctor	1554
hence	1555
goals	1556
smiled	1557
signal	1558
sufficient	1559
tests	1560
seeing	1561
rock	1562
scene	1563
figures	1564
killed	1565
variable	1566
Henry	1567
ca	1568
exist	1569
hill	1570
matters	1571
northern	1572
background	1573
happen	1574
eventually	1575
ratio	1576
occurs	1577
summary	1578
speaking	1579
minimum	1580
interpretation	1581
hit	1582
document	1583
